Cell ID,Minute,x,y,z
4200185,42,436.78867,502.9929,610.3699
4200186,42,353.7708,372.43198,610.6421
4200187,42,775.5787,452.85004,611.3534
4200188,42,766.8715,562.7362,612.09064
4200189,42,599.40186,333.03336,612.8968
4200190,42,550.8577,696.27014,615.1411
4200191,42,597.24567,552.57007,615.53937
4200192,42,537.1359,597.3033,615.629
4200193,42,556.1576,452.89645,619.1484
4200194,42,310.96063,538.5348,619.4335
4200195,42,712.082,302.1922,622.9673
4200196,42,741.1377,528.1152,623.1469
4200197,42,525.19324,571.4584,624.59015
4200198,42,513.5432,573.8183,625.61255
4200199,42,712.8933,586.5893,628.94403
4200200,42,361.61374,482.14957,628.9555
4200201,42,500.22485,468.0449,631.2677
4200202,42,703.7558,383.11664,632.19666
4200203,42,410.29153,654.34235,634.17224
4200204,42,444.9723,329.1205,634.9958
4200205,42,442.98642,427.8862,637.4996
4200206,42,326.04974,419.42105,639.731
4200207,42,459.84546,260.54245,640.9448
4200208,42,377.49408,312.94492,643.3389
4200209,42,661.4748,623.0349,643.81934
4200210,42,487.523,519.8703,644.31146
4200211,42,502.12878,378.48428,647.75165
4200212,42,505.17828,701.31134,649.7242
4200213,42,586.189,698.64636,650.31854
4200214,42,577.67725,400.29434,650.4705
4200215,42,606.885,486.0139,651.3578
4200216,42,729.37775,487.44858,652.3505
4200217,42,594.4595,632.74316,653.6519
4200218,42,501.17426,650.1428,657.55927
4200219,42,545.49524,270.30643,658.4829
4200220,42,433.70938,589.0723,658.5408
4200221,42,553.2664,328.49484,672.8581
4200222,42,671.85364,506.47797,675.95135
4200223,42,639.322,336.4524,676.38574
4200224,42,399.90182,507.79016,677.62976
4200225,42,535.4938,605.3684,680.24774
4200226,42,683.4829,413.64835,682.25885
4200227,42,541.43774,504.36734,685.73724
4200228,42,406.62296,399.5435,687.7447
4200229,42,601.06085,542.6433,691.05304
4200230,42,500.1125,549.7045,693.55597
4200231,42,473.16214,474.6485,699.4233
4200232,42,476.81943,341.23428,699.9469
4200233,42,562.73193,465.8471,703.0289
4200234,42,508.53094,423.10315,703.20435
4200235,42,619.27875,417.1803,704.4873
4200236,42,542.8576,378.11945,708.70825
4300000,43,961.13055,617.4543,307.06763
4300001,43,950.44446,417.13773,314.44864
4300002,43,966.8934,488.62036,315.30463
4300003,43,928.1504,342.91882,333.0377
4300004,43,829.9334,222.90652,339.5573
4300005,43,910.36224,700.1899,357.09134
4300006,43,732.1777,142.14458,361.58862
4300007,43,837.51575,809.56366,361.81564
4300008,43,939.3535,577.1169,365.94006
4300009,43,251.09598,168.8786,375.04578
4300010,43,638.16614,105.42543,378.51578
4300011,43,922.0774,502.30917,380.47998
4300012,43,535.71124,75.143074,387.09195
4300013,43,898.7938,349.43887,388.73145
4300014,43,659.73285,923.8005,389.4448
4300015,43,779.46387,193.70415,394.69373
4300016,43,319.7792,851.00616,395.52063
4300017,43,933.5868,425.4383,396.4598
4300018,43,884.1343,429.60562,396.47556
4300019,43,144.79034,373.9823,396.73026
4300020,43,401.59842,899.95654,398.75507
4300021,43,184.6092,671.7039,402.61243
4300022,43,569.7244,100.38219,403.52908
4300023,43,224.06381,750.09015,403.6394
4300024,43,449.48892,89.70837,405.8262
4300025,43,892.27985,648.1248,406.62723
4300026,43,833.15247,344.50378,408.49347
4300027,43,733.06696,863.12103,410.93448
4300028,43,857.99384,734.4043,413.81033
4300029,43,552.0903,932.0336,413.828
4300030,43,142.8291,564.3681,414.24036
4300031,43,656.28754,150.31554,415.5847
4300032,43,137.70221,454.8979,416.16196
4300033,43,305.09552,157.66264,417.74808
4300034,43,176.69604,275.5176,417.8587
4300035,43,915.9724,556.65985,421.271
4300036,43,467.72873,114.14273,423.69617
4300037,43,458.18112,161.44205,424.39096
4300038,43,235.10217,227.53339,425.94595
4300039,43,787.7621,799.7922,427.8452
4300040,43,376.11774,176.5743,428.91315
4300041,43,832.4909,421.16913,443.7064
4300042,43,828.10175,544.4676,447.01694
4300043,43,876.97437,358.22522,447.23962
4300044,43,816.5347,260.05765,450.78964
4300045,43,760.0871,203.88783,451.054
4300046,43,894.8473,500.9098,451.4944
4300047,43,650.2012,869.0618,454.85004
4300048,43,504.3952,900.2711,454.8649
4300049,43,802.79926,738.5547,459.1678
4300050,43,177.83638,362.71,459.59348
4300051,43,814.73553,483.79285,460.61948
4300052,43,729.8886,375.3914,463.05438
4300053,43,225.26169,291.90244,465.37823
4300054,43,866.75055,593.6935,466.35126
4300055,43,593.24725,815.9599,466.67206
4300056,43,705.8251,818.99536,466.83783
4300057,43,576.64594,895.45135,466.8807
4300058,43,190.35959,538.5441,467.10004
4300059,43,770.1987,651.903,468.54315
4300060,43,845.90765,672.90955,468.6179
4300061,43,306.51938,766.13776,469.03604
4300062,43,182.33026,433.82184,470.85925
4300063,43,892.8669,439.41953,471.86166
4300064,43,432.02887,867.3011,471.89288
4300065,43,784.96716,363.20874,476.72818
4300066,43,214.61755,605.87964,476.85
4300067,43,741.8383,292.9385,478.4933
4300068,43,759.6854,563.7262,478.6174
4300069,43,691.2786,728.2863,480.7542
4300070,43,359.288,811.76917,481.1548
4300071,43,835.39984,313.73007,481.53436
4300072,43,317.7332,204.315,483.53552
4300073,43,739.36633,222.54399,485.1503
4300074,43,761.76794,441.8826,488.3949
4300075,43,266.3442,430.2485,490.9803
4300076,43,722.31714,509.14993,491.73285
4300077,43,475.45764,206.45152,492.53867
4300078,43,355.56247,260.76288,492.68384
4300079,43,369.5693,345.24698,492.84128
4300080,43,469.11588,437.2694,493.52466
4300081,43,625.71765,212.6094,494.75397
4300082,43,220.74187,663.24585,495.00122
4300083,43,494.75952,530.347,495.0685
4300084,43,610.68884,468.25262,495.8346
4300085,43,441.32883,345.9304,496.328
4300086,43,657.03015,168.06207,496.90668
4300087,43,518.6353,385.97653,497.97183
4300088,43,591.21844,260.95673,498.67035
4300089,43,536.1764,133.40926,498.69946
4300090,43,398.23148,440.64682,498.97412
4300091,43,468.45267,745.51245,499.22604
4300092,43,347.64694,404.6827,500.76337
4300093,43,546.1897,209.28978,501.15384
4300094,43,627.4873,629.9516,501.5079
4300095,43,680.1703,443.59766,502.5924
4300096,43,273.10535,510.55292,502.9345
4300097,43,276.60056,715.33966,504.09067
4300098,43,503.1083,323.11774,507.18375
4300099,43,856.8473,401.1886,508.02087
4300100,43,231.346,357.1463,508.22775
4300101,43,444.80447,665.11115,508.43262
4300102,43,253.42703,282.48996,508.4859
4300103,43,615.9307,703.14,508.56253
4300104,43,694.06555,335.05618,514.8214
4300105,43,735.50385,764.236,515.7486
4300106,43,646.8635,281.38843,516.0107
4300107,43,537.9437,596.6022,516.7658
4300108,43,702.75476,585.8251,518.36664
4300109,43,299.63635,633.1844,518.56226
4300110,43,586.4906,535.2545,518.9227
4300111,43,543.95184,467.03302,519.17786
4300112,43,610.76825,769.1764,520.2821
4300113,43,406.20325,267.43762,522.3032
4300114,43,565.7868,349.65952,523.4822
4300115,43,354.0912,560.69977,523.5095
4300116,43,656.00336,529.8277,525.30914
4300117,43,198.14171,451.96255,525.92914
4300118,43,605.42596,837.6838,526.9757
4300119,43,367.054,677.5772,528.8299
4300120,43,435.86612,814.39197,529.2832
4300121,43,410.7222,174.3355,530.1809
4300122,43,418.51736,525.4972,530.4003
4300123,43,827.28345,613.20135,532.578
4300124,43,619.6503,196.54474,533.33673
4300125,43,736.17896,259.06253,534.9308
4300126,43,538.65234,718.4362,536.0624
4300127,43,521.11206,825.4281,538.5756
4300128,43,563.82635,195.36102,539.7931
4300129,43,302.46808,264.2869,540.68604
4300130,43,822.31024,363.69016,541.16644
4300131,43,850.75757,519.6729,541.5624
4300132,43,808.21277,362.95932,541.6265
4300133,43,495.03067,161.42712,543.0315
4300134,43,238.97781,562.13727,543.8984
4300135,43,563.7104,643.3624,544.8347
4300136,43,366.55704,219.27731,546.0682
4300137,43,597.4943,424.20325,546.81354
4300138,43,581.6021,272.5784,548.5018
4300139,43,762.25226,313.8891,550.859
4300140,43,535.83044,278.27863,551.0158
4300141,43,782.73615,517.40546,552.10645
4300142,43,637.1207,364.80765,554.8322
4300143,43,768.3838,638.85565,554.9925
4300144,43,690.9349,643.8401,557.3243
4300145,43,824.44446,433.0003,557.6079
4300146,43,290.49545,335.078,559.6689
4300147,43,500.0892,524.8226,560.15356
4300148,43,719.3326,422.36603,560.3028
4300149,43,364.15103,734.26746,562.29645
4300150,43,435.17453,223.8228,562.9601
4300151,43,480.308,606.2903,564.8392
4300152,43,329.99332,449.80753,564.93445
4300153,43,683.94446,231.81468,565.58417
4300154,43,468.64703,292.18732,566.0983
4300155,43,420.35034,400.4993,566.3247
4300156,43,407.15073,402.19968,567.0835
4300157,43,478.2021,455.89438,567.2094
4300158,43,468.89575,371.28278,567.3084
4300159,43,538.03973,612.9397,569.02765
4300160,43,626.59973,604.41724,572.17035
4300161,43,409.10275,605.7983,572.70966
4300162,43,248.02365,395.01605,575.3788
4300163,43,262.9858,487.26477,579.85004
4300164,43,400.03683,281.29593,580.488
4300165,43,548.31195,386.5213,581.07935
4300166,43,724.8419,695.82263,582.1093
4300167,43,594.24744,485.53278,582.346
4300168,43,661.7868,303.38303,582.8433
4300169,43,353.57874,305.42203,586.46545
4300170,43,534.2574,515.7903,587.63275
4300171,43,638.7365,228.04205,589.51013
4300172,43,617.57385,276.70068,592.4114
4300173,43,482.69614,766.22754,593.08777
4300174,43,585.1157,661.687,594.9958
4300175,43,668.2124,495.9063,595.709
4300176,43,442.49615,702.49,596.8264
4300177,43,588.27637,772.1695,597.5078
4300178,43,759.6938,369.70203,598.89233
4300179,43,642.7491,718.44885,600.8344
4300180,43,503.29855,216.36082,600.8501
4300181,43,330.655,613.55817,603.6465
4300182,43,531.8508,311.5404,605.3786
4300183,43,513.73065,427.15067,607.8912
4300184,43,646.0604,421.6624,607.9598
4300185,43,438.25613,503.8271,609.39417
4300186,43,585.5577,245.72366,609.41693
4300187,43,527.16064,632.6131,610.5041
4300188,43,597.98413,333.0062,611.41205
4300189,43,769.22955,560.17316,611.5304
4300190,43,773.30426,453.3922,611.5335
4300191,43,351.7565,371.7286,611.7561
